filename,dimensions,level_count,level_0_dimensions,level_0_downsample,level_1_dimensions,level_1_downsample,level_2_dimensions,level_2_downsample,level_3_dimensions,level_3_downsample
TCGA-75-7027-01Z-00-DX1.AC91B34F-DF67-4F95-B145-079A71A54E83.svs,"(25985, 28238)",3,"(25985, 28238)",1.0,"(6496, 7059)",4.000218633568438,"(1624, 1764)",16.004276135741655,,
TCGA-86-8672-01Z-00-DX1.94ca1954-921d-4ef6-a078-4e0fcb09157f.svs,"(78658, 82199)",4,"(78658, 82199)",1.0,"(19664, 20549)",4.000123850605991,"(4916, 5137)",16.000884748928982,"(2458, 2568)",32.00488502797148
TCGA-49-4507-01Z-00-DX2.a7bfbeee-00ea-4301-ace4-ce591807e2d3.svs,"(113191, 79694)",4,"(113191, 79694)",1.0,"(28297, 19923)",4.000103202396903,"(7074, 4980)",16.0019003920687,"(3537, 2490)",32.0038007841374
TCGA-05-4249-01Z-00-DX1.9fce0297-cc19-4c04-872c-4466ee4024db.svs,"(68608, 35072)",4,"(68608, 35072)",1.0,"(17152, 8768)",4.0,"(4288, 2192)",16.0,"(2144, 1096)",32.0
TCGA-55-8205-01Z-00-DX1.6df6d499-f325-409d-acb1-9e13172f2bb4.svs,"(66187, 39496)",4,"(66187, 39496)",1.0,"(16546, 9874)",4.000090656351988,"(4136, 2468)",16.002950532776993,"(2068, 1234)",32.005901065553985
TCGA-55-6986-01Z-00-DX1.ae52d41e-3cd6-4d36-b04b-2ea7d29bd8da.svs,"(74821, 35506)",4,"(74821, 35506)",1.0,"(18705, 8876)",4.000139394182511,"(4676, 2219)",16.000985298443222,"(2338, 1109)",32.00918470928811
TCGA-44-5645-01Z-00-DX1.8b0d89d7-7849-49a6-a2f5-a8faf2c5aab4.svs,"(144846, 36848)",4,"(144846, 36848)",1.0,"(36211, 9212)",4.000027615917816,"(9052, 2303)",16.000773309765798,"(2263, 575)",64.04483236949798
TCGA-50-6597-01Z-00-DX1.ec7fc0b2-78a1-4384-bddd-e89f02ee5eb6.svs,"(76739, 62407)",4,"(76739, 62407)",1.0,"(19184, 15601)",4.000174337841306,"(4796, 3900)",16.001210196531297,"(2398, 1950)",32.00242039306259
TCGA-69-7760-01Z-00-DX1.7fc295e3-5bfc-4017-801c-491489d0eb34.svs,"(73861, 70745)",4,"(73861, 70745)",1.0,"(18465, 17686)",4.000055349204933,"(4616, 4421)",16.001559463714422,"(2308, 2210)",32.00673929750543
TCGA-78-7167-01Z-00-DX1.f79e1a9b-a3eb-4c91-a1fd-7bb58b1620b1.svs,"(116068, 73123)",4,"(116068, 73123)",1.0,"(29017, 18280)",4.000082056892779,"(7254, 4570)",16.000603937524247,"(3627, 2285)",32.00120787504849
TCGA-49-4512-01Z-00-DX8.c54237a3-93f4-432f-90f1-b930b7341741.svs,"(104557, 67706)",4,"(104557, 67706)",1.0,"(26139, 16926)",4.000078209209541,"(6534, 4231)",16.002176550171868,"(3267, 2115)",32.0081361650027
TCGA-55-8206-01Z-00-DX1.1216f330-c4e9-41b5-a2b7-9cafd960fa11.svs,"(41247, 40812)",3,"(41247, 40812)",1.0,"(10311, 10203)",4.000145475705557,"(2577, 2550)",16.00526330206122,,
TCGA-86-A4P8-01Z-00-DX1.D65E8855-F7A1-4584-A501-BBFBC61C2DEB.svs,"(63784, 53264)",4,"(63784, 53264)",1.0,"(15946, 13316)",4.0,"(3986, 3329)",16.001003512293025,"(1993, 1664)",32.00681471689374
TCGA-50-6591-01Z-00-DX1.12e1050b-75e9-4059-b945-291995b3e93c.svs,"(145805, 81228)",4,"(145805, 81228)",1.0,"(36451, 20307)",4.0000137170448,"(9112, 5076)",16.001895378136435,"(2278, 1269)",64.00758151254574
